cuentaimputadaid,cuenta_padre,cuenta,cuentaanalisis,sucursal,centrocosto,debe,haber,deudor,acreedor,activo,pasivo,ingreso,gasto,tipocuentaid
40025630,,1 ACTIVOS,,,,0,0,0,0,0,0,0,0,1
40025631,,11 ACTIVO CIRCULANTE,,,,0,0,0,0,0,0,0,0,1
40025632,1101 DISPONIBLE,1101 DISPONIBLE,,,,0,0,0,0,0,0,0,0,1
40025633,1101 DISPONIBLE,1101-01 CUENTA CAJA,,,,18846956,0,18846956,0,18846956,0,0,0,1
40025634,1101 DISPONIBLE,1101-02 BANCO SANTANDER,,,,0,0,0,0,0,0,0,0,1
40025915,1101 DISPONIBLE,1101-03 BANCO SOCIEDAD,,,,0,0,0,0,0,0,0,0,1
40025969,1101 DISPONIBLE,1101-10 BANCO ESTADO 1187,,,,0,0,0,0,0,0,0,0,1
40025985,1101 DISPONIBLE,1101-11 BANCO ESTADO 5894,,,,0,0,0,0,0,0,0,0,1
40026041,1101 DISPONIBLE,1101-16 FONDO FIJO,,,,0,0,0,0,0,0,0,0,1
40026044,1101 DISPONIBLE,1101-17 BANCO SANTANDER SANTA LUCIA,,,,0,0,0,0,0,0,0,0,1
40026045,1101 DISPONIBLE,1101-18 BANCO SANTANDER LA NOVENA,,,,0,0,0,0,0,0,0,0,1
40026053,1101 DISPONIBLE,1101-19 BANCO SANTANDER,,,,0,0,0,0,0,0,0,0,1
40026054,1101 DISPONIBLE,1101-20 BANCO CHILE,,,,0,0,0,0,0,0,0,0,1
40026102,1101 DISPONIBLE,1101-21 BANCO SECURITY,,,,0,0,0,0,0,0,0,0,1
40026119,1101 DISPONIBLE,1101-22 CTA MONEDA EXTRANJERA,,,,0,0,0,0,0,0,0,0,1
40026121,1101 DISPONIBLE,1101-23 BANCO BICE,,,,0,0,0,0,0,0,0,0,1
40026141,1101 DISPONIBLE,1101-24 BANCO BCI,,,,0,0,0,0,0,0,0,0,1
40026155,1101 DISPONIBLE,1101-25 BANCO CORPBANCA,,,,0,0,0,0,0,0,0,0,1
40026156,1101 DISPONIBLE,1101-26 BANCO ESTADO,,,,0,0,0,0,0,0,0,0,1
40026159,1101 DISPONIBLE,1101-27 BANCO BICE,,,,0,0,0,0,0,0,0,0,1
40026161,1101 DISPONIBLE,1101-28 BANCO ITAU,,,,0,0,0,0,0,0,0,0,1
40026204,1101 DISPONIBLE,1101-29 BANCO BCI,,,,256413197,166247867,90165330,0,90165330,0,0,0,1
40026234,1101 DISPONIBLE,1101-31 BANCO SANTANDER CTA 2,,,,0,0,0,0,0,0,0,0,1
40026254,1101 DISPONIBLE,1101-32 BANCO ITAU DOLAR,,,,0,0,0,0,0,0,0,0,1
40026255,1101 DISPONIBLE,1101-33 BANCO ITAU EURO,,,,0,0,0,0,0,0,0,0,1
40026270,1101 DISPONIBLE,1101-34 BANCO SCOTIABANK,,,,0,0,0,0,0,0,0,0,1
40026339,1101 DISPONIBLE,1101-36 BANCO DOLAR,,,,0,0,0,0,0,0,0,0,1
40026341,1101 DISPONIBLE,1101-37 CAJA CHICA,,,,0,0,0,0,0,0,0,0,1
40026342,1101 DISPONIBLE,1101-38 BCO SANTANDER STGO M/E,,,,0,0,0,0,0,0,0,0,1
40026343,1101 DISPONIBLE,1101-39 BCO SANTANDER N 64-57399-3,,,,0,0,0,0,0,0,0,0,1
40026379,1101 DISPONIBLE,1101-40 BANCO CONSORCIO,,,,0,0,0,0,0,0,0,0,1
40026539,1101 DISPONIBLE,1101-43 BANCO CHILE 2,,,,0,0,0,0,0,0,0,0,1
40026556,1101 DISPONIBLE,1101-44 BANCO DE CHILE USD,,,,0,0,0,0,0,0,0,0,1
40026410,1101 DISPONIBLE,1101-50 CAJA CHICA SERVICIOS,,,,0,0,0,0,0,0,0,0,1
40026411,1101 DISPONIBLE,1101-51 CAJA CHICA LIRA 671,,,,0,0,0,0,0,0,0,0,1
40026412,1101 DISPONIBLE,1101-52 CAJA CHICA LIRA 868,,,,0,0,0,0,0,0,0,0,1
40026413,1101 DISPONIBLE,1101-53 CAJA CHICA FINANZAS,,,,0,0,0,0,0,0,0,0,1
40026414,1101 DISPONIBLE,1101-54 CAJA CHICA 4 NORTE VIÑA,,,,0,0,0,0,0,0,0,0,1
40026415,1101 DISPONIBLE,1101-55 CAJA CHICA QUILLOTA VIÑA,,,,0,0,0,0,0,0,0,0,1
40026513,1101 DISPONIBLE,1101-56 BANCO ESTADO CHEQUERA ELECTRONICA,,,,0,0,0,0,0,0,0,0,1
40026520,1101 DISPONIBLE,1101-57 CTA MONEDA EXTRANJERA MERRIL,,,,0,0,0,0,0,0,0,0,1
40026521,1101 DISPONIBLE,1101-58 BANCO BCI DOLAR,,,,0,0,0,0,0,0,0,0,1
40026527,1101 DISPONIBLE,1101-59 CAJA CHICA RUTA DOS,,,,0,0,0,0,0,0,0,0,1
40026528,1101 DISPONIBLE,1101-60 CAJA CHICA GERENTE GENERAL,,,,0,0,0,0,0,0,0,0,1
40026610,1101 DISPONIBLE,1101-62 BANCO ESTADO CUENTA CORRIENTE,,,,0,0,0,0,0,0,0,0,1
40026611,1101 DISPONIBLE,1101-63 Banco Chile 4107,,,,0,0,0,0,0,0,0,0,1
40026630,1101 DISPONIBLE,1101-64 CAJA INVERSIÓN BANCO,,,,0,0,0,0,0,0,0,0,1
40026639,1101 DISPONIBLE,1101-65 BANCO CHILE EURO,,,,0,0,0,0,0,0,0,0,1
40026644,1101 DISPONIBLE,1101-66 Banco BCI,,,,0,0,0,0,0,0,0,0,1
40026649,1101 DISPONIBLE,1101-67 BANCO SCOTIABANK 2,,,,0,0,0,0,0,0,0,0,1
40026689,1101 DISPONIBLE,1101-72 BANCO SANTANDER DOLAR,,,,0,0,0,0,0,0,0,0,1
40026745,1101 DISPONIBLE,1101-73 BANCO CHILE DOLAR,,,,0,0,0,0,0,0,0,0,1
40026777,1101 DISPONIBLE,1101-74 CAPITAL POR ENTERAR,,,,0,0,0,0,0,0,0,0,1
40026783,1101 DISPONIBLE,1101-75 BANCO INTERNACIONAL,,,,0,0,0,0,0,0,0,0,1
40026788,1101 DISPONIBLE,1101-76 BANCO GLOBAL,,,,0,0,0,0,0,0,0,0,1
40026789,1101 DISPONIBLE,1101-77 BANCO GLOBAL USD,,,,0,0,0,0,0,0,0,0,1
40026817,1101 DISPONIBLE,1101-78 BANCO INTERNACIONAL,,,,0,0,0,0,0,0,0,0,1
40026822,1101 DISPONIBLE,1101-79 CAJA VECINA,,,,0,0,0,0,0,0,0,0,1
40026929,1101 DISPONIBLE,1101-80 BANCO EDWARDS,,,,0,0,0,0,0,0,0,0,1
40026951,1101 DISPONIBLE,1101-81 DOLARES AFEX,,,,0,0,0,0,0,0,0,0,1
40026975,1101 DISPONIBLE,1101-82 BANCO CHILE 4602,,,,0,0,0,0,0,0,0,0,1
40027012,1101 DISPONIBLE,1101-83 BANCO BICE DOLAR,,,,0,0,0,0,0,0,0,0,1
40027013,1101 DISPONIBLE,1101-84 BANCO BICE EURO,,,,0,0,0,0,0,0,0,0,1
40027019,1101 DISPONIBLE,1101-85 MERCADO PAGO,,,,0,0,0,0,0,0,0,0,1
40027022,1101 DISPONIBLE,1101-86 TRASPASO EN TRANSITO,,,,0,0,0,0,0,0,0,0,1
40025635,1102 DEPOSITOS A PLAZO,1102 DEPOSITOS A PLAZO,,,,0,0,0,0,0,0,0,0,1
40025636,1102 DEPOSITOS A PLAZO,1102-01 DEPOSITOS A PLAZO,,,,0,0,0,0,0,0,0,0,1
40026307,1102 DEPOSITOS A PLAZO,1102-02 DEPOSITO A PLAZO BCO SANTANDER,,,,0,0,0,0,0,0,0,0,1
40026308,1102 DEPOSITOS A PLAZO,1102-03 DEPOSITO A PLAZO BCO CHILE,,,,0,0,0,0,0,0,0,0,1
40025637,1103 VALORES NEGOCIABLES,1103 VALORES NEGOCIABLES,,,,0,0,0,0,0,0,0,0,1
40025638,1103 VALORES NEGOCIABLES,1103-01 INGRESOS FUNDACION,,,,0,0,0,0,0,0,0,0,1
40025967,1103 VALORES NEGOCIABLES,1103-02 FONDOS MUTUOS,,,,0,0,0,0,0,0,0,0,1
40026391,1103 VALORES NEGOCIABLES,1103-03 FONDOS MUTUOS BCO SANTANDER,,,,0,0,0,0,0,0,0,0,1
40026624,1103 VALORES NEGOCIABLES,1103-04 INVERSIONES  DE ACCIONES,,,,0,0,0,0,0,0,0,0,1
40026769,1103 VALORES NEGOCIABLES,1103-05 FONDOS DE INVERSIONES,,,,0,0,0,0,0,0,0,0,1
40025639,1104 DEUDORES POR VENTAS,1104 DEUDORES POR VENTAS,,,,0,0,0,0,0,0,0,0,1
40025640,1104 DEUDORES POR VENTAS,1104-01 DEUDORES CLIENTES,,,,292252484,311499524,0,19247040,0,19247040,0,0,1
40025979,1104 DEUDORES POR VENTAS,1104-02 CLIENTES LOCAL,,,,0,0,0,0,0,0,0,0,1
40026158,1104 DEUDORES POR VENTAS,1104-03 VENTAS POR FACTURAR,,,,0,0,0,0,0,0,0,0,1
40026160,1104 DEUDORES POR VENTAS,1104-05 CLIENTES TRANSBANK,,,,0,0,0,0,0,0,0,0,1
40026167,1104 DEUDORES POR VENTAS,1104-06 OTROS DEUDORES,,,,0,0,0,0,0,0,0,0,1
40026196,1104 DEUDORES POR VENTAS,1104-07 DEUDORES POR COBRAR,,,,0,0,0,0,0,0,0,0,1
40026224,1104 DEUDORES POR VENTAS,1104-08 CLIENTES POR IDENTIFICAR,,,,0,0,0,0,0,0,0,0,1
40026237,1104 DEUDORES POR VENTAS,1104-09 CLIENTES FACTORING,,,,0,0,0,0,0,0,0,0,1
40026374,1104 DEUDORES POR VENTAS,1104-10 CLIENTES CONVENCIONALES,,,,0,0,0,0,0,0,0,0,1
40026435,1104 DEUDORES POR VENTAS,1104-11 CLIENTES FACTORING,,,,0,0,0,0,0,0,0,0,1
40026509,1104 DEUDORES POR VENTAS,1104-12 REMANENTE FACTORING,,,,0,0,0,0,0,0,0,0,1
40026510,1104 DEUDORES POR VENTAS,1104-13 CLIENTES EXTRANJEROS,,,,0,0,0,0,0,0,0,0,1
40026540,1104 DEUDORES POR VENTAS,1104-14 RETENCIÓN FACTORING,,,,99477,0,99477,0,99477,0,0,0,1
40026708,1104 DEUDORES POR VENTAS,1104-15 DXC ESPECIALES DEL MES,,,,0,0,0,0,0,0,0,0,1
40026709,1104 DEUDORES POR VENTAS,1104-16 CXC GASTOS COMUNES ATRASADOS,,,,0,0,0,0,0,0,0,0,1
40026710,1104 DEUDORES POR VENTAS,1104-17 CXC GASTO COMUN ANTICIPADO,,,,0,0,0,0,0,0,0,0,1
40026711,1104 DEUDORES POR VENTAS,1104-18 CXC FONDO DE RESERVA DEL MES,,,,0,0,0,0,0,0,0,0,1
40026712,1104 DEUDORES POR VENTAS,1104-19 CXC FONDO DE RESERVA ATRASADO,,,,0,0,0,0,0,0,0,0,1
40026713,1104 DEUDORES POR VENTAS,1104-20 CXC GASTOS COMUNES DEL MES,,,,0,0,0,0,0,0,0,0,1
40026714,1104 DEUDORES POR VENTAS,1104-21 CXC CONVENIO GASTOS COMUNES,,,,0,0,0,0,0,0,0,0,1
40026715,1104 DEUDORES POR VENTAS,1104-22 CXC ALARMAS,,,,0,0,0,0,0,0,0,0,1
40026716,1104 DEUDORES POR VENTAS,1104-23 CXC SEGUO INCENDIO OBLIGATORIO,,,,0,0,0,0,0,0,0,0,1
40026717,1104 DEUDORES POR VENTAS,1104-24 CXC AGUA LOCALES COMERCIALES,,,,0,0,0,0,0,0,0,0,1
40026730,1104 DEUDORES POR VENTAS,1104-25 CXC ARRIENDOS,,,,0,0,0,0,0,0,0,0,1
40026731,1104 DEUDORES POR VENTAS,1104-26 CXC ELECTRICIDAD,,,,0,0,0,0,0,0,0,0,1
40026732,1104 DEUDORES POR VENTAS,1104-27 CXC ALCANTARILLADO,,,,0,0,0,0,0,0,0,0,1
40026824,1104 DEUDORES POR VENTAS,1104-28 MAQUILA,,,,0,0,0,0,0,0,0,0,1
40026993,1104 DEUDORES POR VENTAS,1104-29 CXC TB LTDA,,,,0,0,0,0,0,0,0,0,1
40025641,1105 DOCTOS. POR COBRAR,1105 DOCTOS. POR COBRAR,,,,0,0,0,0,0,0,0,0,1
40025642,1105 DOCTOS. POR COBRAR,1105-01 LETRAS EN CARTERA,,,,0,0,0,0,0,0,0,0,1
