idcuenta,tipocuentaid,tipocuenta,cuentamayor,subcuenta,cuentaanalisis,periodo,saldoanterior,saldo,generado_en
1513,3,Total Ganancias,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1514,3,Total Ganancias,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1515,3,Total Ganancias,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1516,3,Total Ganancias,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1517,3,Total Ganancias,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1518,3,Total Ganancias,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1519,3,Total Ganancias,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1520,3,Total Ganancias,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1521,3,Total Ganancias,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40025883,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-01 VENTAS,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-01-01T00:00:00.000Z,0,38441484,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-02-01T00:00:00.000Z,0,22634420,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-03-01T00:00:00.000Z,0,27654860,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-04-01T00:00:00.000Z,0,41825114,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-05-01T00:00:00.000Z,0,73530780,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-06-01T00:00:00.000Z,0,58676810,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-07-01T00:00:00.000Z,0,79250508,2026-09-24T11:09:23.394Z
40026924,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-58 VENTA  DE PRODUCTO ENTERO,,2026-08-01T00:00:00.000Z,0,56396958,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-01-01T00:00:00.000Z,0,50137920,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-02-01T00:00:00.000Z,0,46464480,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-03-01T00:00:00.000Z,0,61446720,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-04-01T00:00:00.000Z,0,68104320,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-05-01T00:00:00.000Z,0,76033920,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-06-01T00:00:00.000Z,0,81401160,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-07-01T00:00:00.000Z,0,111298560,2026-09-24T11:09:23.394Z
40026925,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-59 VENTA DE PRODUCTO TROZADO,,2026-08-01T00:00:00.000Z,0,105606300,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-01-01T00:00:00.000Z,0,15737500,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-02-01T00:00:00.000Z,0,16890500,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-03-01T00:00:00.000Z,0,22759500,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-04-01T00:00:00.000Z,0,29428500,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-05-01T00:00:00.000Z,0,31387000,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-06-01T00:00:00.000Z,0,31548000,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-07-01T00:00:00.000Z,0,39682500,2026-09-24T11:09:23.394Z
40026926,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-60 VENTA DE PRODUCTO PICADO,,2026-08-01T00:00:00.000Z,0,43444500,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-01-01T00:00:00.000Z,0,8099500,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-02-01T00:00:00.000Z,0,8360500,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-03-01T00:00:00.000Z,0,10284000,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-04-01T00:00:00.000Z,0,12230500,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-05-01T00:00:00.000Z,0,13422500,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-06-01T00:00:00.000Z,0,16041000,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-07-01T00:00:00.000Z,0,23126900,2026-09-24T11:09:23.394Z
40026927,3,Total Ganancias,5101 INGRESOS DE EXPLOTACION,5101-61 VENTA DE PRODUCTO CUBO,,2026-08-01T00:00:00.000Z,0,19582800,2026-09-24T11:09:23.394Z
40025892,3,Total Ganancias,5201 INGRESOS NO OPERACIONALES,5201-05 VENTAS ACTIVO FIJO,,2026-08-01T00:00:00.000Z,0,3000000,2026-09-24T11:09:23.394Z
40025897,3,Total Ganancias,5203 REAJUSTE CRED.FISCAL,5203-01 REAJUSTE CRED. FISCAL,,2026-05-01T00:00:00.000Z,0,48422,2026-09-24T11:09:23.394Z
40026968,3,Total Ganancias,5501 CORRECCION MONETARIA,5501-15 CM PPM,,2026-07-01T00:00:00.000Z,0,17439,2026-09-24T11:09:23.394Z
1513,4,Total Pérdidas,,,,2026-01-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1514,4,Total Pérdidas,,,,2026-02-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1515,4,Total Pérdidas,,,,2026-03-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1516,4,Total Pérdidas,,,,2026-04-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1517,4,Total Pérdidas,,,,2026-05-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1518,4,Total Pérdidas,,,,2026-06-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1519,4,Total Pérdidas,,,,2026-07-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1520,4,Total Pérdidas,,,,2026-08-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
1521,4,Total Pérdidas,,,,2026-09-01T00:00:00.000Z,0,0,2026-09-24T11:09:23.394Z
