asientocontableid,cuentaid,cuenta,codigocuenta,descripcioncuenta,fechamovimiento,tipoasiento,numero_asiento,secuencia,glosa,sucursal,centrocosto,rutcontraparte,contraparte,descripciondetalle,numerodocumento,tipodocumento,tipomovimiento,fechadocumento,debe,haber,saldofinal,movimientocontableid
,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,,,,,Acumulado Anterior,,,,,,,,,,108419473.0000,308840.0000,108110633.0000,
129823286,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-03T00:00:00.000Z,Egreso,2187,2,Of pago contratista,,,,,,,,,,3317270.0000,0,111427903.0000,476282191
129801174,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-10T00:00:00.000Z,Egreso,2179,2,Pago contratista,,,,,,,,,,3307960.0000,0,114735863.0000,476202169
129723260,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-17T00:00:00.000Z,Egreso,2169,2,Pago contratista,,,,,,,,,,3739903.0000,0,118475766.0000,475933304
129723311,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-17T00:00:00.000Z,Egreso,2170,2,Pago contratista,,,,,,,,,,2722750.0000,0,121198516.0000,475936140
129721042,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-24T00:00:00.000Z,Egreso,2166,2,Pago contratista,,,,,,,,,,2858240.0000,0,124056756.0000,475926376
129545559,40025633,1101-01 CUENTA CAJA,1101-01,CUENTA CAJA,2026-08-31T00:00:00.000Z,Egreso,2154,2,Mary perez flores,,,,,,,,,,2900833.0000,0,126957589.0000,475368144
,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,,,,,Acumulado Anterior,,,,,,,,,,1370936312.0000,1315874762.0000,55061550.0000,
129544864,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-03T00:00:00.000Z,Egreso,2151,2,Of centra,,,,,,,,,,0,2344300.0000,52717250.0000,475365671
129823152,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-03T00:00:00.000Z,Egreso,2185,1,Buin impuesto linea de sobregiro,,,,,,,,,,0,1320.0000,52715930.0000,476281775
129823286,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-03T00:00:00.000Z,Egreso,2187,1,Of pago contratista,,,,,,,,,,0,3317270.0000,49398660.0000,476282190
129823425,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-03T00:00:00.000Z,Egreso,2188,1,Pago remuneraciones,,,,,,,,,,0,12935888.0000,36462772.0000,476282559
129544847,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-04T00:00:00.000Z,Egreso,2149,2,Of centra,,,,,,,,,,0,481823.0000,35980949.0000,475365633
129544857,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-04T00:00:00.000Z,Egreso,2150,2,Of centra,,,,,,,,,,0,1368500.0000,34612449.0000,475365654
129823241,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-04T00:00:00.000Z,Egreso,2186,1,Of centra cheque cobrado por caja,,,,,,,,,,0,1029482.0000,33582967.0000,476282055
129544788,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2146,2,Ugca aut merpago*mercadoli 62148,,,,,,,,,,0,109900.0000,33473067.0000,475365461
129544821,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2147,2,Of centra,,,,,,,,,,0,571200.0000,32901867.0000,475365568
129544837,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2148,2,Of centra,,,,,,,,,,0,291050.0000,32610817.0000,475365610
129822839,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2182,1,Buin pago credito d03100050906 003/021,,,,,,,,,,0,5627162.0000,26983655.0000,476280680
129822996,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2183,2,Of centra,,,,,,,,,,0,143419.0000,26840236.0000,476281233
129823125,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Egreso,2184,1,Of centra pac tarjeta de credito visa,,,,,,,,,,0,1823500.0000,25016736.0000,476281613
129822931,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-05T00:00:00.000Z,Ingreso,874,3,Of virt u,,,,,,,,,,771120.0000,0,25787856.0000,476280942
129544763,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-06T00:00:00.000Z,Egreso,2145,2,Of virt u pac reale chile,,,,,,,,,,0,125015.0000,25662841.0000,475365386
129801285,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-07T00:00:00.000Z,Egreso,2181,1,Pago credito d03109020109 038/060,,,,,,,,,,0,3523709.0000,22139132.0000,476202526
129801299,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-07T00:00:00.000Z,Ingreso,872,7,Of virt u,,,,,,,,,,2149378.0000,0,24288510.0000,476202598
129802060,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-07T00:00:00.000Z,Ingreso,873,1,Ingreso cencosud retail s.a.,,,,,,,,,,61258870.0000,0,85547380.0000,476205680
129544743,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-10T00:00:00.000Z,Egreso,2143,2,Of centra,,,,,,,,,,0,107100.0000,85440280.0000,475365313
129544751,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-10T00:00:00.000Z,Egreso,2144,2,Of centra,,,,,,,,,,0,1874250.0000,83566030.0000,475365335
129801169,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-10T00:00:00.000Z,Egreso,2178,1,Crisse acevedo rios,,,,,,,,,,0,192901.0000,83373129.0000,476202158
129801174,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-10T00:00:00.000Z,Egreso,2179,1,Pago contratista,,,,,,,,,,0,3307960.0000,80065169.0000,476202168
129801177,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-10T00:00:00.000Z,Egreso,2180,1,Crisse evelyn acevedo rios,,,,,,,,,,0,525920.0000,79539249.0000,476202174
129801009,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-11T00:00:00.000Z,Egreso,2176,1,Pago f29 julio,,,,,,,,,,0,38059366.0000,41479883.0000,476201412
129801096,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-11T00:00:00.000Z,Egreso,2177,1,Pago previred julio,,,,,,,,,,0,2595682.0000,38884201.0000,476201743
129825821,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-11T00:00:00.000Z,Egreso,2190,1,Of centra,,,,,,,,,,0,113240.0000,38770961.0000,476290510
129544719,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-11T00:00:00.000Z,Ingreso,862,2,Of centra transfer de savia,,,,,,,,,,571200.0000,0,39342161.0000,475365236
129544479,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-12T00:00:00.000Z,Egreso,2142,2,Ugca aut las brujas de tal 805554,,,,,,,,,,0,612505.0000,38729656.0000,475364532
129800978,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-12T00:00:00.000Z,Egreso,2175,1,Of centra pago cuentas via internet,,,,,,,,,,0,246085.0000,38483571.0000,476201232
129544531,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-12T00:00:00.000Z,Ingreso,861,2,Of centra transfer de savia,,,,,,,,,,142800.0000,0,38626371.0000,475364684
129800945,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-12T00:00:00.000Z,Ingreso,871,4,Of virt u,,,,,,,,,,912968.0000,0,39539339.0000,476201109
129544439,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-13T00:00:00.000Z,Egreso,2140,1,Of centra,,,,,,,,,,0,2000000.0000,37539339.0000,475364394
129544447,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-13T00:00:00.000Z,Egreso,2141,2,Of centra,,,,,,,,,,0,202300.0000,37337039.0000,475364429
129724270,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-14T00:00:00.000Z,Ingreso,869,10,Of virt u,,,,,,,,,,5250280.0000,0,42587319.0000,475939016
129726697,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-14T00:00:00.000Z,Ingreso,870,1,Buin deposito cheque/documento,,,,,,,,,,53989937.0000,0,96577256.0000,475946848
129543970,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2138,2,Of centra,,,,,,,,,,0,207500.0000,96369756.0000,475363129
129544034,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2139,2,Of centra,,,,,,,,,,0,6297787.0000,90071969.0000,475363343
129723260,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2169,1,Pago contratista,,,,,,,,,,0,3739903.0000,86332066.0000,475933303
129723311,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2170,1,Pago contratista,,,,,,,,,,0,2722750.0000,83609316.0000,475936139
129723796,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2171,1,Anticipos agosto,,,,,,,,,,0,1100000.0000,82509316.0000,475937471
129724165,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-17T00:00:00.000Z,Egreso,2172,1,Sociedad acevedo y rios ltda,,,,,,,,,,0,20000000.0000,62509316.0000,475938473
129543892,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-18T00:00:00.000Z,Egreso,2137,2,Of centra,,,,,,,,,,0,23800.0000,62485516.0000,475362858
129723002,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-18T00:00:00.000Z,Egreso,2168,2,Of centra,,,,,,,,,,0,2473950.0000,60011566.0000,475932496
129800917,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-18T00:00:00.000Z,Egreso,2173,1,Of virt u pac hdi seguros sa,,,,,,,,,,0,103733.0000,59907833.0000,476201027
129800919,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-18T00:00:00.000Z,Egreso,2174,1,Of virt u pac hdi seguros sa,,,,,,,,,,0,165212.0000,59742621.0000,476201031
129543826,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-19T00:00:00.000Z,Egreso,2135,2,Of virt u pac bci seguros gene,,,,,,,,,,0,2451.0000,59740170.0000,475362632
129543847,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-19T00:00:00.000Z,Egreso,2136,2,Of centra,,,,,,,,,,0,823549.0000,58916621.0000,475362699
129722751,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-19T00:00:00.000Z,Ingreso,868,6,Of virt u,,,,,,,,,,2833390.0000,0,61750011.0000,475931597
129543702,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-20T00:00:00.000Z,Egreso,2134,2,Of centra,,,,,,,,,,0,203225.0000,61546786.0000,475362247
129825645,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-20T00:00:00.000Z,Egreso,2189,1,Of centra,,,,,,,,,,0,161721.0000,61385065.0000,476289895
129543491,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-21T00:00:00.000Z,Egreso,2132,2,Of centra,,,,,,,,,,0,1081853.0000,60303212.0000,475361600
129543520,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-21T00:00:00.000Z,Egreso,2133,2,Of centra,,,,,,,,,,0,173521.0000,60129691.0000,475361689
129721665,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-21T00:00:00.000Z,Ingreso,866,12,Of virt u,,,,,,,,,,9496914.0000,0,69626605.0000,475928363
129722480,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-21T00:00:00.000Z,Ingreso,867,1,Buin deposito cheque/documento,,,,,,,,,,55973937.0000,0,125600542.0000,475930833
129542433,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2127,2,Of centra,,,,,,,,,,0,2189600.0000,123410942.0000,475358885
129542784,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2128,2,Of centra,,,,,,,,,,0,120000.0000,123290942.0000,475359616
129542798,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2129,2,Of centra,,,,,,,,,,0,502600.0000,122788342.0000,475359679
129542945,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2130,2,Of centra,,,,,,,,,,0,557260.0000,122231082.0000,475360069
129543293,40026204,1101-29 BANCO BCI,1101-29,BANCO BCI,2026-08-24T00:00:00.000Z,Egreso,2131,2,Of centra,,,,,,,,,,0,1249500.0000,120981582.0000,475361002
